id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
9418,User9418,20,Male,Tablet,Side,News,Night,1.0
8190,User8190,26,Male,Mobile,Side,Shopping,Afternoon,1.0
1140,User1140,28,Male,Desktop,Side,Education,Evening,0.0
3149,User3149,31,Male,Desktop,Top,Education,Night,0.0
5629,User5629,39,Female,Tablet,Top,Entertainment,Night,1.0
9748,User9748,47,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0.0
4086,User4086,54,Female,Desktop,Top,Entertainment,Morning,1.0
9400,User9400,41,Non-Binary,Mobile,Side,Education,Night,1.0
6449,User6449,42,Non-Binary,Desktop,Top,Shopping,Night,1.0
9699,User9699,33,Female,Tablet,Bottom,Shopping,Morning,0.0
2809,User2809,31,Non-Binary,Desktop,Top,News,Afternoon,0.0
4089,User4089,37,Non-Binary,Tablet,Bottom,Social Media,Afternoon,0.0
2885,User2885,47,Non-Binary,Desktop,Bottom,Education,Afternoon,0.0
1190,User1190,35,Non-Binary,Tablet,Bottom,Education,Morning,1.0
8068,User8068,57,Female,Mobile,Side,Shopping,Afternoon,0.0
5082,User5082,44,Female,Mobile,Top,Education,Afternoon,1.0
1345,User1345,34,Non-Binary,Desktop,Top,Entertainment,Morning,0.0
4938,User4938,41,Male,Desktop,Side,Social Media,Evening,1.0
5623,User5623,53,Female,Desktop,Side,Social Media,Morning,1.0
5329,User5329,54,Male,Tablet,Side,News,Evening,1.0
9990,User9990,25,Male,Desktop,Side,Education,Night,1.0
3746,User3746,49,Male,Desktop,Top,Education,Morning,1.0
7993,User7993,34,Non-Binary,Mobile,Bottom,Social Media,Morning,1.0
5955,User5955,19,Male,Tablet,Side,News,Evening,1.0
5100,User5100,42,Male,Mobile,Side,Shopping,Morning,1.0
6129,User6129,36,Male,Tablet,Bottom,Entertainment,Evening,1.0
4625,User4625,33,Non-Binary,Mobile,Top,News,Morning,0.0
8459,User8459,38,Non-Binary,Tablet,Bottom,Entertainment,Morning,1.0
3215,User3215,33,Male,Mobile,Side,Social Media,Afternoon,0.0
4151,User4151,39,Female,Desktop,Side,Social Media,Evening,0.0
8176,User8176,46,Male,Desktop,Top,News,Afternoon,0.0
1908,User1908,26,Male,Mobile,Bottom,News,Evening,1.0
2142,User2142,34,Non-Binary,Desktop,Top,Shopping,Afternoon,1.0
4212,User4212,35,Non-Binary,Mobile,Side,News,Morning,0.0
9137,User9137,35,Female,Desktop,Side,Social Media,Night,0.0
8085,User8085,35,Non-Binary,Mobile,Side,Shopping,Evening,0.0
933,User933,41,Female,Tablet,Side,Entertainment,Night,0.0
4779,User4779,42,Male,Tablet,Top,Social Media,Afternoon,0.0
4925,User4925,47,Non-Binary,Desktop,Side,Entertainment,Evening,0.0
6167,User6167,20,Male,Mobile,Side,Shopping,Night,1.0
3818,User3818,27,Non-Binary,Desktop,Top,Shopping,Night,0.0
6919,User6919,45,Non-Binary,Desktop,Top,Social Media,Night,0.0
7779,User7779,36,Female,Desktop,Bottom,News,Morning,0.0
1612,User1612,40,Non-Binary,Mobile,Side,News,Evening,1.0
6441,User6441,42,Male,Desktop,Top,Entertainment,Night,1.0
7808,User7808,26,Female,Desktop,Top,Education,Night,1.0
550,User550,40,Non-Binary,Desktop,Top,Shopping,Morning,0.0
1612,User1612,40,Male,Mobile,Side,News,Evening,1.0
3644,User3644,26,Female,Mobile,Side,Entertainment,Evening,1.0
7422,User7422,41,Female,Desktop,Top,Social Media,Evening,1.0
5732,User5732,47,Non-Binary,Tablet,Bottom,Entertainment,Evening,1.0
8222,User8222,27,Non-Binary,Tablet,Side,News,Afternoon,1.0
4450,User4450,45,Female,Mobile,Top,Social Media,Evening,0.0
3277,User3277,38,Non-Binary,Mobile,Side,News,Morning,0.0
8174,User8174,20,Female,Mobile,Bottom,Education,Afternoon,1.0
1127,User1127,37,Non-Binary,Desktop,Bottom,Social Media,Afternoon,1.0
3345,User3345,47,Male,Desktop,Top,Social Media,Night,1.0
6553,User6553,36,Male,Desktop,Bottom,Education,Morning,1.0
453,User453,22,Female,Tablet,Top,Entertainment,Afternoon,1.0
4345,User4345,48,Non-Binary,Desktop,Bottom,Education,Afternoon,0.0
6268,User6268,40,Male,Desktop,Top,Entertainment,Night,1.0
329,User329,36,Male,Desktop,Top,Entertainment,Night,0.0
9266,User9266,38,Male,Mobile,Bottom,Education,Afternoon,1.0
6917,User6917,41,Non-Binary,Mobile,Bottom,News,Afternoon,0.0
8561,User8561,52,Male,Mobile,Bottom,Entertainment,Evening,1.0
9448,User9448,46,Non-Binary,Mobile,Side,Entertainment,Morning,0.0
7272,User7272,55,Female,Tablet,Bottom,News,Afternoon,0.0
234,User234,19,Female,Tablet,Bottom,Social Media,Morning,1.0
255,User255,57,Male,Desktop,Bottom,Entertainment,Night,1.0
2129,User2129,47,Female,Tablet,Bottom,Social Media,Evening,1.0
7678,User7678,53,Female,Desktop,Top,Social Media,Night,0.0
8515,User8515,46,Non-Binary,Mobile,Bottom,Social Media,Night,1.0
2173,User2173,50,Male,Tablet,Bottom,Shopping,Night,1.0
5571,User5571,46,Female,Desktop,Side,Shopping,Evening,0.0
9611,User9611,41,Male,Desktop,Side,Entertainment,Afternoon,1.0
5737,User5737,29,Male,Desktop,Top,Shopping,Night,0.0
7788,User7788,63,Non-Binary,Mobile,Side,News,Night,0.0
7471,User7471,31,Female,Mobile,Bottom,Social Media,Morning,1.0
9811,User9811,51,Female,Mobile,Side,Shopping,Morning,0.0
8115,User8115,20,Female,Mobile,Top,Social Media,Afternoon,1.0
217,User217,28,Female,Tablet,Side,Education,Morning,0.0
234,User234,45,Female,Desktop,Bottom,Social Media,Morning,1.0
6864,User6864,36,Male,Desktop,Side,Social Media,Evening,0.0
6462,User6462,36,Male,Tablet,Side,Education,Evening,1.0
1214,User1214,26,Female,Mobile,Bottom,News,Evening,1.0
3543,User3543,55,Male,Tablet,Top,Education,Night,1.0
7214,User7214,62,Non-Binary,Mobile,Top,Education,Night,0.0
3236,User3236,56,Female,Mobile,Bottom,Education,Morning,1.0
8957,User8957,29,Male,Tablet,Top,Entertainment,Morning,1.0
1214,User1214,26,Female,Mobile,Bottom,Social Media,Evening,1.0
6576,User6576,62,Female,Desktop,Bottom,Entertainment,Morning,1.0
6602,User6602,25,Female,Desktop,Side,Entertainment,Morning,1.0
9400,User9400,50,Male,Mobile,Side,Education,Evening,1.0
5501,User5501,28,Non-Binary,Mobile,Bottom,Social Media,Evening,1.0
5084,User5084,52,Non-Binary,Tablet,Side,News,Afternoon,1.0
1020,User1020,34,Male,Desktop,Side,Shopping,Morning,1.0
9618,User9618,48,Non-Binary,Desktop,Bottom,Education,Morning,0.0
4228,User4228,52,Non-Binary,Desktop,Side,Social Media,Morning,1.0
7659,User7659,19,Male,Mobile,Top,News,Night,0.0
2003,User2003,42,Male,Desktop,Bottom,News,Afternoon,0.0
9736,User9736,46,Non-Binary,Desktop,Bottom,Education,Evening,1.0
487,User487,28,Male,Mobile,Side,Social Media,Afternoon,1.0
4429,User4429,34,Non-Binary,Tablet,Top,Entertainment,Morning,1.0
998,User998,35,Non-Binary,Tablet,Top,Social Media,Evening,1.0
8226,User8226,46,Female,Tablet,Top,Social Media,Morning,1.0
9220,User9220,21,Female,Mobile,Side,Social Media,Night,1.0
1420,User1420,62,Non-Binary,Desktop,Bottom,News,Morning,1.0
2485,User2485,46,Non-Binary,Mobile,Bottom,News,Afternoon,1.0
4841,User4841,21,Female,Mobile,Side,Education,Evening,0.0
8316,User8316,32,Male,Desktop,Bottom,Social Media,Afternoon,0.0
3601,User3601,46,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,1.0
9290,User9290,61,Non-Binary,Desktop,Bottom,Shopping,Afternoon,1.0
5258,User5258,50,Non-Binary,Desktop,Side,Education,Night,0.0
9431,User9431,34,Male,Mobile,Top,Entertainment,Afternoon,1.0
885,User885,49,Non-Binary,Tablet,Side,Education,Afternoon,0.0
7866,User7866,47,Non-Binary,Mobile,Bottom,Social Media,Morning,1.0
1110,User1110,43,Female,Mobile,Side,Entertainment,Night,0.0
1539,User1539,43,Non-Binary,Mobile,Bottom,Education,Evening,1.0
2722,User2722,39,Female,Desktop,Top,Education,Evening,1.0
5890,User5890,56,Female,Mobile,Bottom,News,Night,1.0
5062,User5062,30,Male,Tablet,Bottom,Education,Night,0.0
6125,User6125,18,Male,Desktop,Side,Shopping,Afternoon,0.0
2964,User2964,40,Non-Binary,Mobile,Side,News,Night,1.0
6573,User6573,55,Non-Binary,Desktop,Side,Social Media,Evening,1.0
2133,User2133,30,Female,Tablet,Side,Shopping,Afternoon,0.0
3014,User3014,36,Non-Binary,Mobile,Top,Social Media,Afternoon,1.0
6619,User6619,36,Non-Binary,Tablet,Bottom,Social Media,Evening,0.0
579,User579,47,Male,Tablet,Side,Entertainment,Evening,0.0
3938,User3938,36,Male,Mobile,Bottom,Entertainment,Evening,1.0
949,User949,27,Male,Desktop,Top,Social Media,Morning,0.0
6145,User6145,25,Female,Mobile,Side,Education,Evening,0.0
9075,User9075,36,Female,Mobile,Top,Education,Night,1.0
3658,User3658,30,Female,Desktop,Side,Shopping,Night,1.0
7993,User7993,32,Non-Binary,Mobile,Bottom,Social Media,Morning,1.0
6602,User6602,32,Non-Binary,Desktop,Side,News,Night,1.0
2760,User2760,55,Male,Tablet,Top,Social Media,Morning,0.0
4616,User4616,43,Female,Desktop,Side,News,Evening,0.0
1503,User1503,19,Female,Tablet,Side,Education,Afternoon,1.0
9550,User9550,58,Non-Binary,Desktop,Top,Education,Afternoon,1.0
9227,User9227,47,Non-Binary,Mobile,Side,Entertainment,Morning,1.0
5522,User5522,19,Non-Binary,Desktop,Bottom,Education,Night,0.0
7438,User7438,45,Non-Binary,Tablet,Side,News,Morning,1.0
5733,User5733,38,Non-Binary,Mobile,Bottom,Shopping,Morning,0.0
4957,User4957,58,Male,Desktop,Bottom,Social Media,Evening,1.0
6771,User6771,34,Non-Binary,Desktop,Side,Shopping,Morning,1.0
8442,User8442,54,Female,Tablet,Bottom,News,Evening,0.0
393,User393,36,Male,Desktop,Bottom,Shopping,Morning,1.0
8252,User8252,38,Male,Tablet,Side,Shopping,Night,1.0
8947,User8947,22,Male,Tablet,Bottom,Entertainment,Night,1.0
6423,User6423,37,Non-Binary,Tablet,Side,Shopping,Afternoon,0.0
670,User670,22,Female,Desktop,Top,Shopping,Afternoon,1.0
9245,User9245,43,Male,Tablet,Top,Education,Morning,0.0
3232,User3232,22,Female,Tablet,Bottom,Entertainment,Night,0.0
6479,User6479,44,Male,Tablet,Side,Entertainment,Afternoon,1.0
8226,User8226,47,Male,Tablet,Top,Social Media,Morning,1.0
4254,User4254,19,Male,Desktop,Bottom,Shopping,Afternoon,1.0
1099,User1099,36,Male,Tablet,Top,Shopping,Night,0.0
3641,User3641,39,Female,Tablet,Top,Education,Night,1.0
3014,User3014,28,Female,Mobile,Top,Shopping,Afternoon,1.0
2964,User2964,40,Non-Binary,Mobile,Side,Entertainment,Night,1.0
9807,User9807,35,Non-Binary,Tablet,Bottom,Education,Night,1.0
9806,User9806,58,Male,Desktop,Bottom,Shopping,Evening,1.0
6883,User6883,32,Male,Desktop,Side,News,Afternoon,0.0
1470,User1470,25,Male,Tablet,Top,Social Media,Evening,0.0
645,User645,32,Non-Binary,Tablet,Side,Education,Morning,0.0
4015,User4015,34,Male,Desktop,Side,Education,Afternoon,1.0
8208,User8208,35,Female,Tablet,Top,Education,Evening,1.0
5425,User5425,54,Female,Mobile,Side,Entertainment,Afternoon,1.0
4874,User4874,38,Male,Mobile,Bottom,News,Morning,0.0
1914,User1914,37,Male,Tablet,Bottom,Shopping,Evening,1.0
4950,User4950,28,Male,Mobile,Side,Social Media,Morning,1.0
24,User24,45,Female,Tablet,Side,Education,Evening,1.0
7450,User7450,43,Non-Binary,Desktop,Side,News,Night,1.0
2019,User2019,42,Non-Binary,Tablet,Top,Entertainment,Night,0.0
1446,User1446,41,Female,Desktop,Bottom,News,Night,1.0
7750,User7750,46,Female,Mobile,Side,Social Media,Morning,1.0
2337,User2337,40,Male,Desktop,Top,Entertainment,Evening,1.0
4178,User4178,41,Male,Tablet,Top,Shopping,Morning,0.0
6487,User6487,19,Male,Tablet,Side,News,Morning,1.0
3057,User3057,51,Female,Mobile,Top,Entertainment,Afternoon,0.0
6765,User6765,46,Female,Tablet,Side,Entertainment,Morning,1.0
5193,User5193,50,Female,Desktop,Side,Education,Afternoon,1.0
6906,User6906,36,Non-Binary,Mobile,Top,Shopping,Morning,1.0
2555,User2555,44,Non-Binary,Tablet,Side,News,Morning,1.0
4773,User4773,59,Male,Desktop,Top,Entertainment,Afternoon,0.0
6438,User6438,53,Non-Binary,Tablet,Top,Shopping,Night,1.0
9128,User9128,34,Male,Mobile,Top,News,Morning,0.0
9075,User9075,36,Female,Mobile,Top,News,Night,1.0
8372,User8372,52,Male,Desktop,Top,Entertainment,Afternoon,0.0
400,User400,52,Non-Binary,Tablet,Side,News,Evening,1.0
8334,User8334,44,Male,Desktop,Top,Shopping,Evening,0.0
1965,User1965,30,Female,Tablet,Bottom,Shopping,Morning,0.0
5403,User5403,61,Male,Desktop,Top,Education,Night,0.0
3333,User3333,30,Male,Tablet,Top,Social Media,Evening,1.0
5501,User5501,28,Non-Binary,Mobile,Bottom,News,Evening,1.0
9617,User9617,63,Non-Binary,Tablet,Side,Shopping,Afternoon,1.0
7792,User7792,59,Male,Mobile,Bottom,Education,Evening,0.0
3708,User3708,43,Male,Desktop,Top,News,Evening,0.0
3280,User3280,29,Male,Tablet,Side,Shopping,Morning,0.0
2529,User2529,58,Male,Desktop,Top,Social Media,Afternoon,1.0
8832,User8832,49,Male,Tablet,Side,Shopping,Night,1.0
