id,age,gender,device_type,ad_position,browsing_history,time_of_day
8018,41,2.0,0.0,1.0,3.0,2.0
1178,34,1.0,0.0,0.0,3.0,1.0
4022,44,2.0,1.0,2.0,1.0,2.0
6740,58,2.0,0.0,1.0,2.0,3.0
4697,54,1.0,1.0,1.0,1.0,0.0
2485,57,2.0,1.0,0.0,2.0,3.0
6602,32,2.0,0.0,1.0,4.0,3.0
7941,41,0.0,0.0,0.0,2.0,0.0
58,36,0.0,0.0,2.0,3.0,2.0
1041,37,1.0,1.0,1.0,1.0,2.0
1908,26,1.0,1.0,0.0,0.0,1.0
373,34,1.0,1.0,2.0,0.0,1.0
1586,38,2.0,0.0,2.0,3.0,3.0
3164,28,0.0,0.0,0.0,0.0,1.0
8253,57,2.0,0.0,0.0,0.0,3.0
3330,49,1.0,0.0,2.0,2.0,0.0
6125,18,1.0,0.0,1.0,3.0,0.0
3908,50,0.0,0.0,0.0,1.0,1.0
9399,37,1.0,0.0,0.0,1.0,1.0
9311,28,2.0,0.0,1.0,1.0,0.0
7425,53,2.0,0.0,0.0,3.0,3.0
3345,39,1.0,0.0,1.0,4.0,3.0
9714,25,0.0,1.0,2.0,2.0,0.0
2759,37,0.0,2.0,0.0,1.0,2.0
1905,62,0.0,0.0,0.0,1.0,3.0
7313,41,2.0,1.0,1.0,0.0,3.0
4086,54,0.0,0.0,2.0,1.0,2.0
9499,34,0.0,1.0,0.0,4.0,2.0
2142,34,2.0,0.0,2.0,3.0,0.0
6268,42,2.0,0.0,2.0,4.0,3.0
1205,48,1.0,1.0,0.0,3.0,3.0
1171,52,0.0,1.0,0.0,3.0,3.0
8804,35,0.0,0.0,2.0,0.0,1.0
1992,32,2.0,2.0,2.0,4.0,2.0
9400,41,0.0,1.0,0.0,0.0,3.0
5921,52,0.0,0.0,1.0,1.0,2.0
4228,52,0.0,0.0,1.0,1.0,2.0
9255,37,2.0,2.0,2.0,3.0,2.0
1919,54,1.0,2.0,0.0,1.0,3.0
9753,46,0.0,2.0,2.0,1.0,3.0
812,40,2.0,0.0,0.0,0.0,2.0
2913,57,2.0,1.0,1.0,4.0,1.0
2529,62,0.0,0.0,2.0,1.0,0.0
2188,48,1.0,0.0,0.0,0.0,0.0
9070,38,2.0,2.0,0.0,1.0,2.0
3990,28,1.0,2.0,1.0,4.0,1.0
905,40,0.0,2.0,1.0,3.0,0.0
7981,43,2.0,2.0,2.0,4.0,1.0
5980,40,0.0,0.0,1.0,3.0,2.0
7941,41,0.0,0.0,0.0,4.0,0.0
7076,43,2.0,2.0,1.0,2.0,0.0
8226,46,0.0,2.0,2.0,0.0,2.0
5354,48,2.0,0.0,0.0,0.0,2.0
805,35,1.0,0.0,0.0,2.0,1.0
8379,22,1.0,1.0,0.0,3.0,2.0
7266,41,2.0,2.0,0.0,0.0,0.0
9504,44,2.0,0.0,2.0,3.0,2.0
8226,30,1.0,2.0,2.0,3.0,2.0
7661,48,0.0,1.0,1.0,4.0,3.0
5832,28,2.0,0.0,1.0,3.0,0.0
2272,52,0.0,2.0,0.0,2.0,2.0
2272,47,2.0,0.0,0.0,1.0,1.0
1722,36,1.0,1.0,2.0,0.0,0.0
9842,43,2.0,1.0,2.0,3.0,0.0
393,36,1.0,0.0,0.0,3.0,2.0
6862,29,1.0,2.0,1.0,0.0,0.0
255,37,0.0,0.0,0.0,1.0,3.0
813,44,0.0,2.0,1.0,0.0,2.0
6094,29,2.0,2.0,2.0,4.0,1.0
3245,40,1.0,0.0,1.0,3.0,0.0
373,34,0.0,1.0,2.0,0.0,0.0
5531,34,1.0,0.0,2.0,2.0,3.0
226,46,0.0,0.0,2.0,1.0,2.0
775,45,0.0,1.0,2.0,3.0,1.0
1721,34,0.0,1.0,0.0,4.0,0.0
9572,38,0.0,1.0,0.0,3.0,2.0
7808,58,0.0,0.0,2.0,2.0,3.0
8101,59,2.0,0.0,0.0,3.0,0.0
8544,41,1.0,1.0,0.0,1.0,2.0
3403,56,0.0,0.0,2.0,2.0,3.0
1136,50,1.0,1.0,1.0,3.0,2.0
9420,50,2.0,2.0,1.0,0.0,0.0
3164,28,0.0,0.0,0.0,3.0,1.0
5980,40,0.0,0.0,1.0,3.0,2.0
8947,22,1.0,0.0,0.0,2.0,3.0
5305,31,2.0,2.0,1.0,3.0,0.0
9095,45,0.0,1.0,2.0,2.0,0.0
9109,24,1.0,1.0,2.0,1.0,0.0
3109,52,2.0,0.0,0.0,1.0,1.0
5699,19,2.0,2.0,2.0,0.0,2.0
4889,55,1.0,2.0,0.0,2.0,1.0
8351,27,0.0,2.0,0.0,0.0,1.0
4539,42,1.0,1.0,0.0,4.0,1.0
5329,54,1.0,2.0,1.0,0.0,1.0
6765,46,0.0,2.0,1.0,1.0,2.0
9418,20,1.0,2.0,1.0,2.0,3.0
4828,52,1.0,1.0,1.0,4.0,0.0
866,49,1.0,1.0,0.0,0.0,3.0
3236,56,0.0,0.0,0.0,0.0,2.0
2311,41,1.0,0.0,0.0,3.0,0.0
6409,52,1.0,0.0,2.0,1.0,3.0
2311,37,0.0,0.0,0.0,4.0,0.0
5100,42,1.0,1.0,1.0,3.0,2.0
4957,58,1.0,0.0,0.0,4.0,1.0
7962,58,1.0,2.0,2.0,3.0,0.0
3846,38,2.0,2.0,0.0,1.0,3.0
4539,54,2.0,1.0,0.0,1.0,3.0
5418,34,1.0,1.0,2.0,2.0,1.0
3345,39,1.0,0.0,1.0,3.0,3.0
2431,42,0.0,0.0,2.0,0.0,3.0
8817,53,1.0,2.0,0.0,0.0,3.0
9967,52,1.0,1.0,1.0,0.0,1.0
4348,62,0.0,0.0,2.0,3.0,0.0
1612,40,2.0,1.0,1.0,2.0,1.0
8734,25,0.0,1.0,2.0,2.0,0.0
4266,28,2.0,0.0,1.0,2.0,2.0
2720,30,0.0,2.0,1.0,3.0,2.0
5431,33,2.0,0.0,1.0,3.0,3.0
2272,52,0.0,2.0,0.0,2.0,2.0
200,35,1.0,1.0,1.0,2.0,2.0
4848,41,0.0,0.0,0.0,1.0,1.0
6237,32,2.0,1.0,2.0,2.0,2.0
7828,29,2.0,2.0,0.0,4.0,2.0
2428,33,1.0,2.0,1.0,3.0,2.0
3325,40,1.0,1.0,0.0,0.0,2.0
1171,34,0.0,1.0,0.0,0.0,3.0
6409,52,1.0,0.0,2.0,1.0,3.0
2289,36,0.0,0.0,0.0,3.0,2.0
4685,58,0.0,2.0,0.0,4.0,3.0
332,51,2.0,0.0,0.0,1.0,2.0
3060,36,1.0,0.0,0.0,2.0,2.0
8152,25,0.0,1.0,0.0,1.0,2.0
7484,27,2.0,1.0,1.0,3.0,3.0
8726,62,2.0,0.0,1.0,0.0,2.0
2946,37,0.0,0.0,0.0,0.0,0.0
1627,37,0.0,2.0,1.0,0.0,1.0
8464,27,1.0,1.0,0.0,0.0,2.0
1583,44,2.0,1.0,2.0,1.0,2.0
5574,35,0.0,1.0,0.0,2.0,0.0
9504,31,1.0,2.0,2.0,2.0,2.0
7990,38,0.0,0.0,1.0,4.0,2.0
6441,41,1.0,0.0,1.0,0.0,2.0
6075,32,2.0,0.0,1.0,4.0,3.0
4871,58,2.0,0.0,1.0,2.0,3.0
6854,32,1.0,1.0,0.0,2.0,3.0
8361,41,0.0,1.0,1.0,2.0,0.0
4957,58,1.0,0.0,0.0,1.0,1.0
2964,40,0.0,1.0,1.0,1.0,3.0
8832,37,0.0,2.0,2.0,4.0,2.0
3323,48,0.0,2.0,1.0,4.0,0.0
3045,32,1.0,1.0,0.0,0.0,0.0
8430,47,0.0,2.0,0.0,2.0,0.0
6467,30,1.0,0.0,1.0,4.0,2.0
998,49,0.0,2.0,2.0,0.0,2.0
8791,29,1.0,0.0,2.0,4.0,3.0
4742,31,1.0,0.0,0.0,1.0,3.0
3915,33,0.0,0.0,1.0,1.0,1.0
289,46,1.0,0.0,1.0,1.0,0.0
3641,33,0.0,2.0,2.0,3.0,3.0
2431,54,1.0,0.0,2.0,2.0,3.0
1524,24,1.0,1.0,0.0,2.0,3.0
8555,53,0.0,1.0,2.0,0.0,1.0
2083,60,0.0,0.0,2.0,2.0,0.0
1370,23,0.0,0.0,0.0,3.0,3.0
8972,37,2.0,2.0,0.0,3.0,3.0
6188,20,1.0,0.0,0.0,1.0,2.0
3109,19,0.0,2.0,1.0,0.0,1.0
5748,35,1.0,0.0,1.0,0.0,2.0
7971,46,2.0,2.0,0.0,2.0,2.0
249,52,0.0,0.0,0.0,0.0,0.0
3237,43,1.0,2.0,2.0,0.0,2.0
7961,64,0.0,1.0,1.0,3.0,1.0
7647,34,1.0,0.0,2.0,3.0,0.0
9290,61,0.0,0.0,0.0,1.0,0.0
5906,56,0.0,1.0,0.0,4.0,0.0
7511,31,0.0,0.0,1.0,3.0,3.0
7941,34,0.0,1.0,0.0,4.0,0.0
6743,29,1.0,1.0,1.0,1.0,0.0
9196,37,1.0,0.0,1.0,3.0,3.0
9419,64,0.0,1.0,1.0,4.0,0.0
1141,41,0.0,0.0,0.0,3.0,0.0
2727,34,1.0,1.0,0.0,1.0,0.0
6479,32,0.0,2.0,1.0,1.0,0.0
2157,42,0.0,0.0,1.0,3.0,3.0
4585,57,0.0,1.0,0.0,0.0,0.0
6989,28,1.0,1.0,1.0,3.0,0.0
3378,53,2.0,0.0,2.0,3.0,0.0
9400,41,2.0,1.0,1.0,0.0,3.0
2295,53,2.0,2.0,0.0,4.0,0.0
6724,37,0.0,0.0,2.0,1.0,2.0
5629,44,0.0,2.0,2.0,4.0,2.0
7962,58,2.0,2.0,2.0,4.0,0.0
4697,54,1.0,1.0,1.0,1.0,0.0
8832,49,1.0,2.0,1.0,3.0,3.0
5881,26,2.0,2.0,2.0,1.0,2.0
740,47,0.0,2.0,1.0,4.0,1.0
4756,59,2.0,1.0,0.0,0.0,1.0
9990,25,0.0,0.0,1.0,0.0,3.0
238,55,0.0,1.0,1.0,3.0,1.0
7086,36,2.0,1.0,2.0,2.0,0.0
3357,35,1.0,1.0,1.0,2.0,2.0
3325,40,2.0,0.0,0.0,0.0,2.0
8081,38,0.0,2.0,0.0,1.0,3.0
4661,33,2.0,1.0,0.0,2.0,3.0
215,31,1.0,0.0,1.0,0.0,2.0
6493,63,2.0,1.0,1.0,3.0,1.0
6100,47,2.0,0.0,0.0,0.0,3.0
5084,52,2.0,2.0,1.0,0.0,1.0
4950,28,2.0,1.0,1.0,0.0,0.0
1305,38,0.0,2.0,2.0,2.0,3.0
8817,53,2.0,2.0,2.0,0.0,2.0
2124,54,1.0,0.0,2.0,2.0,1.0
5498,42,0.0,2.0,1.0,0.0,2.0
5439,38,1.0,2.0,1.0,4.0,0.0
5741,27,2.0,1.0,0.0,3.0,3.0
5783,37,1.0,0.0,0.0,0.0,1.0
2913,57,2.0,1.0,1.0,4.0,1.0
5418,34,1.0,1.0,2.0,1.0,1.0
4925,47,2.0,0.0,1.0,1.0,1.0
5783,37,1.0,0.0,0.0,0.0,1.0
4842,42,0.0,2.0,0.0,4.0,3.0
4756,59,2.0,1.0,0.0,0.0,1.0
2272,52,1.0,2.0,0.0,2.0,2.0
3375,52,2.0,1.0,0.0,0.0,2.0
651,57,0.0,2.0,1.0,0.0,2.0
2131,36,0.0,1.0,1.0,1.0,2.0
5623,53,1.0,0.0,1.0,4.0,2.0
6161,61,0.0,2.0,0.0,3.0,0.0
3854,56,0.0,2.0,0.0,4.0,0.0
3117,21,0.0,2.0,0.0,3.0,0.0
3266,46,1.0,2.0,2.0,0.0,0.0
4086,54,0.0,0.0,2.0,1.0,2.0
5756,51,2.0,2.0,2.0,3.0,0.0
9311,28,2.0,0.0,1.0,1.0,0.0
9699,33,0.0,2.0,0.0,3.0,2.0
5123,54,2.0,0.0,2.0,3.0,2.0
6462,36,0.0,2.0,1.0,0.0,1.0
9431,59,1.0,0.0,2.0,1.0,0.0
8965,25,0.0,1.0,0.0,4.0,0.0
5520,31,2.0,0.0,0.0,3.0,0.0
9146,58,1.0,0.0,2.0,2.0,0.0
6315,49,2.0,0.0,2.0,2.0,0.0
1650,29,0.0,0.0,0.0,1.0,2.0
8983,45,2.0,0.0,0.0,1.0,3.0
7453,39,0.0,2.0,1.0,3.0,3.0
9805,47,0.0,0.0,0.0,1.0,1.0
8692,47,1.0,1.0,0.0,4.0,0.0
5308,36,0.0,0.0,1.0,2.0,2.0
6906,31,2.0,1.0,2.0,0.0,2.0
5972,43,0.0,0.0,2.0,2.0,1.0
2666,51,2.0,1.0,1.0,2.0,2.0
2947,39,2.0,1.0,2.0,0.0,2.0
7151,46,2.0,2.0,1.0,2.0,2.0
5623,40,0.0,0.0,1.0,1.0,2.0
2044,31,2.0,1.0,2.0,2.0,1.0
1325,47,2.0,2.0,1.0,1.0,1.0
4305,43,1.0,0.0,2.0,2.0,3.0
4621,49,2.0,2.0,2.0,0.0,2.0
1478,19,1.0,1.0,1.0,1.0,1.0
5912,41,2.0,1.0,1.0,0.0,3.0
3333,30,1.0,2.0,2.0,3.0,1.0
8020,27,0.0,0.0,2.0,4.0,2.0
606,44,2.0,0.0,1.0,1.0,0.0
1524,48,1.0,2.0,0.0,4.0,3.0
5193,50,0.0,0.0,1.0,2.0,0.0
188,56,0.0,2.0,0.0,2.0,2.0
5881,26,2.0,2.0,2.0,2.0,2.0
5498,57,0.0,2.0,1.0,0.0,2.0
8561,52,1.0,1.0,0.0,1.0,1.0
9992,41,2.0,1.0,1.0,3.0,1.0
5498,44,1.0,2.0,1.0,0.0,2.0
9992,36,1.0,0.0,1.0,3.0,1.0
670,58,2.0,0.0,2.0,1.0,0.0
4548,39,1.0,0.0,1.0,1.0,1.0
6622,42,1.0,2.0,0.0,1.0,3.0
7322,56,2.0,1.0,0.0,4.0,0.0
8081,37,1.0,0.0,0.0,1.0,3.0
3246,35,0.0,1.0,2.0,0.0,0.0
1446,41,0.0,0.0,0.0,2.0,3.0
7322,47,0.0,0.0,0.0,2.0,0.0
1805,28,1.0,1.0,2.0,4.0,0.0
8753,35,2.0,2.0,2.0,1.0,2.0
5486,19,1.0,1.0,2.0,0.0,1.0
5191,44,1.0,1.0,0.0,1.0,1.0
9747,48,2.0,1.0,2.0,0.0,3.0
4725,32,0.0,1.0,2.0,1.0,2.0
7846,50,1.0,0.0,1.0,0.0,1.0
4255,35,2.0,0.0,0.0,1.0,0.0
1033,55,0.0,2.0,0.0,1.0,3.0
8018,36,1.0,0.0,1.0,0.0,2.0
4021,38,0.0,1.0,1.0,1.0,2.0
6487,19,1.0,0.0,0.0,3.0,2.0
5447,40,0.0,0.0,0.0,1.0,2.0
7450,43,2.0,0.0,1.0,2.0,3.0
6880,32,0.0,1.0,1.0,1.0,3.0
1178,42,0.0,0.0,0.0,0.0,1.0
6886,43,1.0,1.0,0.0,4.0,1.0
1201,32,0.0,2.0,1.0,1.0,2.0
1136,36,0.0,1.0,2.0,0.0,2.0
5732,46,2.0,2.0,0.0,4.0,2.0
3430,61,1.0,0.0,1.0,4.0,2.0
6508,47,1.0,1.0,2.0,1.0,2.0
4539,24,1.0,1.0,0.0,3.0,3.0
900,51,0.0,1.0,1.0,0.0,3.0
9231,21,1.0,0.0,2.0,3.0,1.0
2150,39,2.0,1.0,2.0,4.0,3.0
2607,52,1.0,2.0,0.0,3.0,3.0
9418,20,1.0,2.0,1.0,2.0,3.0
5425,38,2.0,1.0,1.0,3.0,0.0
8683,26,0.0,0.0,1.0,0.0,1.0
1450,44,2.0,0.0,0.0,1.0,0.0
9842,43,2.0,1.0,2.0,3.0,0.0
316,42,2.0,0.0,2.0,4.0,3.0
5968,52,2.0,2.0,1.0,1.0,1.0
9146,58,0.0,2.0,2.0,4.0,0.0
8872,50,0.0,1.0,2.0,0.0,3.0
4848,52,0.0,0.0,0.0,2.0,3.0
3499,45,0.0,2.0,1.0,4.0,1.0
428,37,1.0,1.0,2.0,4.0,3.0
1370,52,0.0,2.0,0.0,2.0,0.0
2374,54,2.0,2.0,1.0,3.0,0.0
9869,32,1.0,1.0,0.0,2.0,0.0
9157,33,0.0,1.0,0.0,1.0,0.0
5346,30,2.0,2.0,2.0,4.0,2.0
412,43,1.0,2.0,2.0,2.0,1.0
8115,38,0.0,1.0,2.0,4.0,0.0
7584,31,0.0,1.0,1.0,3.0,1.0
427,34,2.0,0.0,1.0,1.0,0.0
24,32,1.0,2.0,1.0,0.0,0.0
188,56,0.0,2.0,0.0,2.0,2.0
5569,35,2.0,1.0,0.0,4.0,0.0
6996,40,2.0,1.0,2.0,2.0,3.0
2973,27,1.0,2.0,0.0,3.0,3.0
6365,38,0.0,2.0,0.0,4.0,1.0
1041,37,0.0,1.0,1.0,1.0,2.0
3543,55,2.0,2.0,2.0,4.0,3.0
3555,23,2.0,1.0,2.0,0.0,3.0
5085,38,2.0,2.0,2.0,2.0,3.0
674,26,1.0,2.0,1.0,1.0,1.0
1285,57,1.0,2.0,0.0,4.0,1.0
9638,64,2.0,0.0,2.0,1.0,2.0
7766,20,2.0,1.0,2.0,1.0,0.0
5629,39,2.0,2.0,2.0,1.0,3.0
1503,30,0.0,0.0,1.0,2.0,2.0
4442,57,2.0,0.0,1.0,4.0,1.0
998,44,0.0,2.0,2.0,3.0,2.0
810,54,2.0,0.0,0.0,4.0,1.0
3543,37,0.0,0.0,2.0,4.0,3.0
5067,33,0.0,2.0,2.0,3.0,0.0
8710,18,1.0,2.0,2.0,0.0,3.0
913,64,0.0,1.0,0.0,4.0,3.0
6153,30,2.0,1.0,1.0,2.0,3.0
5574,52,0.0,0.0,0.0,3.0,0.0
9227,46,2.0,1.0,1.0,1.0,2.0
4086,28,0.0,0.0,1.0,4.0,2.0
8282,28,2.0,2.0,0.0,1.0,0.0
4756,59,2.0,1.0,0.0,0.0,1.0
1470,25,1.0,2.0,2.0,4.0,1.0
1503,19,0.0,2.0,1.0,4.0,0.0
64,63,2.0,2.0,0.0,4.0,1.0
3164,30,0.0,0.0,0.0,0.0,1.0
7544,26,0.0,1.0,2.0,2.0,0.0
3641,33,0.0,2.0,2.0,1.0,3.0
1762,41,1.0,0.0,1.0,2.0,0.0
4621,58,1.0,0.0,2.0,1.0,0.0
6620,52,0.0,2.0,2.0,0.0,2.0
1178,34,1.0,0.0,0.0,4.0,1.0
2854,38,0.0,0.0,0.0,3.0,0.0
7498,39,2.0,1.0,1.0,3.0,0.0
9146,32,2.0,1.0,2.0,0.0,0.0
1253,36,0.0,0.0,0.0,3.0,2.0
6462,36,1.0,2.0,1.0,0.0,1.0
6553,40,0.0,0.0,0.0,0.0,2.0
9090,41,1.0,0.0,1.0,0.0,2.0
8271,29,0.0,0.0,0.0,0.0,0.0
3895,39,2.0,1.0,2.0,3.0,2.0
8041,35,0.0,1.0,0.0,4.0,0.0
7390,40,2.0,0.0,2.0,3.0,0.0
3037,36,1.0,1.0,0.0,2.0,2.0
1071,61,0.0,1.0,1.0,4.0,1.0
7503,38,0.0,2.0,2.0,4.0,2.0
6188,20,1.0,0.0,0.0,1.0,2.0
1325,33,0.0,0.0,0.0,0.0,1.0
393,36,2.0,0.0,0.0,3.0,2.0
1539,43,1.0,1.0,0.0,1.0,1.0
9162,37,0.0,1.0,2.0,3.0,3.0
4321,55,1.0,0.0,0.0,3.0,0.0
7674,43,0.0,2.0,0.0,2.0,0.0
3746,49,1.0,0.0,2.0,2.0,2.0
319,39,1.0,0.0,0.0,0.0,1.0
1691,45,1.0,0.0,1.0,2.0,3.0
2173,52,1.0,1.0,0.0,3.0,3.0
4848,52,0.0,0.0,0.0,1.0,3.0
234,19,1.0,2.0,0.0,4.0,2.0
58,36,0.0,1.0,2.0,3.0,2.0
5412,35,1.0,1.0,2.0,0.0,1.0
4361,29,1.0,2.0,1.0,0.0,0.0
6596,24,1.0,0.0,2.0,3.0,1.0
7674,43,0.0,2.0,0.0,2.0,0.0
3543,55,2.0,2.0,2.0,1.0,3.0
7590,40,2.0,1.0,2.0,4.0,2.0
5084,52,2.0,2.0,1.0,2.0,0.0
6263,34,2.0,1.0,0.0,1.0,3.0
1520,36,0.0,0.0,2.0,1.0,1.0
6443,36,1.0,0.0,0.0,2.0,3.0
7129,56,1.0,2.0,0.0,2.0,3.0
7828,29,0.0,2.0,0.0,0.0,2.0
8753,35,0.0,2.0,2.0,1.0,2.0
5979,54,1.0,0.0,0.0,0.0,3.0
5921,34,1.0,0.0,1.0,0.0,2.0
7138,26,1.0,2.0,2.0,1.0,2.0
5227,24,2.0,1.0,0.0,1.0,3.0
4836,55,1.0,2.0,1.0,3.0,1.0
3710,34,1.0,0.0,1.0,1.0,1.0
5647,47,2.0,2.0,1.0,2.0,2.0
6412,46,1.0,0.0,2.0,4.0,3.0
2722,39,0.0,0.0,2.0,3.0,1.0
7750,46,1.0,2.0,1.0,4.0,2.0
1148,25,0.0,1.0,0.0,0.0,0.0
5647,46,1.0,2.0,1.0,3.0,2.0
4776,27,0.0,1.0,0.0,4.0,0.0
5084,52,2.0,2.0,1.0,0.0,1.0
2876,23,1.0,2.0,2.0,0.0,2.0
699,62,1.0,2.0,0.0,4.0,0.0
8255,22,0.0,1.0,1.0,1.0,1.0
5756,51,2.0,2.0,2.0,3.0,0.0
9975,37,1.0,1.0,1.0,0.0,2.0
1214,26,0.0,1.0,0.0,2.0,1.0
2597,53,0.0,1.0,2.0,3.0,0.0
9452,39,2.0,0.0,0.0,4.0,2.0
2311,41,1.0,0.0,0.0,1.0,1.0
6771,44,1.0,0.0,0.0,3.0,2.0
1474,51,2.0,0.0,1.0,1.0,2.0
5647,46,0.0,2.0,1.0,4.0,2.0
7099,22,0.0,1.0,2.0,3.0,1.0
4200,54,2.0,1.0,0.0,2.0,1.0
518,29,1.0,2.0,0.0,3.0,2.0
5912,41,2.0,1.0,1.0,0.0,3.0
7766,20,2.0,1.0,2.0,1.0,0.0
3647,23,1.0,0.0,0.0,4.0,3.0
7805,36,1.0,1.0,2.0,1.0,0.0
7808,26,0.0,0.0,2.0,0.0,3.0
3333,30,1.0,2.0,2.0,2.0,1.0
1762,41,1.0,0.0,1.0,1.0,0.0
6771,30,1.0,0.0,1.0,3.0,2.0
1539,43,2.0,1.0,0.0,0.0,1.0
277,59,1.0,0.0,2.0,1.0,0.0
8957,29,0.0,2.0,2.0,4.0,2.0
8895,40,0.0,2.0,2.0,4.0,2.0
5066,50,0.0,1.0,1.0,3.0,2.0
9397,19,1.0,2.0,2.0,2.0,1.0
