id,full_name,age,click,gender,device_type,ad_position,browsing_history,time_of_day
4777,User4777,37,0.0,Female,Tablet,Side,News,Morning
6683,User6683,39,1.0,Female,Tablet,Top,Social Media,Night
6880,User6880,38,1.0,Female,Mobile,Side,News,Night
2021,User2021,41,1.0,Female,Mobile,Top,Education,Night
5986,User5986,32,0.0,Male,Desktop,Side,Education,Afternoon
5484,User5484,64,0.0,Female,Mobile,Side,Education,Morning
8948,User8948,25,1.0,Female,Mobile,Bottom,Education,Evening
3042,User3042,29,1.0,Female,Mobile,Side,Social Media,Afternoon
3225,User3225,23,1.0,Female,Tablet,Bottom,Entertainment,Morning
3801,User3801,26,1.0,Non-Binary,Desktop,Side,Shopping,Evening
1077,User1077,26,1.0,Non-Binary,Desktop,Top,Entertainment,Afternoon
3062,User3062,34,1.0,Male,Desktop,Bottom,Entertainment,Evening
6060,User6060,34,0.0,Female,Desktop,Top,News,Morning
4697,User4697,54,1.0,Male,Mobile,Side,Entertainment,Afternoon
6849,User6849,39,1.0,Female,Mobile,Top,Shopping,Night
1908,User1908,26,1.0,Female,Mobile,Top,Entertainment,Afternoon
5703,User5703,55,0.0,Female,Tablet,Side,Shopping,Night
4856,User4856,21,0.0,Male,Desktop,Top,Social Media,Evening
1197,User1197,62,1.0,Male,Mobile,Top,Social Media,Night
8683,User8683,26,0.0,Female,Desktop,Side,Education,Evening
820,User820,39,0.0,Non-Binary,Mobile,Side,Social Media,Afternoon
8010,User8010,24,0.0,Female,Desktop,Top,Shopping,Afternoon
2364,User2364,54,0.0,Female,Tablet,Side,Entertainment,Afternoon
1549,User1549,58,1.0,Male,Desktop,Top,Entertainment,Afternoon
3577,User3577,58,0.0,Non-Binary,Desktop,Side,Social Media,Afternoon
5845,User5845,30,0.0,Male,Tablet,Bottom,Shopping,Morning
5418,User5418,43,1.0,Male,Tablet,Top,Social Media,Morning
4621,User4621,20,1.0,Female,Desktop,Top,Social Media,Afternoon
1704,User1704,61,1.0,Female,Desktop,Bottom,Entertainment,Afternoon
118,User118,43,0.0,Female,Tablet,Bottom,Social Media,Night
8957,User8957,36,1.0,Female,Mobile,Top,Entertainment,Morning
5995,User5995,40,0.0,Male,Desktop,Top,News,Morning
3007,User3007,42,0.0,Male,Desktop,Top,Shopping,Night
756,User756,35,0.0,Female,Desktop,Side,Shopping,Evening
5194,User5194,53,1.0,Male,Mobile,Top,Shopping,Afternoon
4611,User4611,20,0.0,Female,Tablet,Top,Social Media,Night
2023,User2023,19,1.0,Non-Binary,Desktop,Top,Entertainment,Morning
8041,User8041,35,1.0,Female,Mobile,Bottom,Social Media,Afternoon
6258,User6258,53,1.0,Female,Tablet,Top,Entertainment,Night
3375,User3375,52,1.0,Male,Mobile,Bottom,Education,Morning
7805,User7805,36,0.0,Male,Mobile,Top,Entertainment,Afternoon
3062,User3062,34,1.0,Male,Desktop,Bottom,Entertainment,Evening
9647,User9647,34,0.0,Non-Binary,Desktop,Side,Entertainment,Evening
5439,User5439,38,1.0,Non-Binary,Tablet,Side,Social Media,Afternoon
9400,User9400,41,1.0,Non-Binary,Mobile,Side,Education,Night
1914,User1914,42,1.0,Male,Tablet,Bottom,Shopping,Night
5642,User5642,57,0.0,Female,Tablet,Bottom,News,Morning
9689,User9689,35,1.0,Male,Desktop,Bottom,Entertainment,Evening
7655,User7655,39,0.0,Male,Tablet,Bottom,Entertainment,Morning
2976,User2976,41,0.0,Male,Mobile,Top,Shopping,Afternoon
6262,User6262,47,0.0,Non-Binary,Desktop,Bottom,Entertainment,Morning
1612,User1612,40,1.0,Female,Mobile,Side,News,Evening
6438,User6438,53,1.0,Non-Binary,Tablet,Top,News,Night
3225,User3225,23,1.0,Female,Tablet,Bottom,Entertainment,Morning
9842,User9842,43,1.0,Non-Binary,Mobile,Top,Shopping,Afternoon
8817,User8817,42,1.0,Male,Tablet,Bottom,Shopping,Night
3776,User3776,34,0.0,Female,Mobile,Top,Social Media,Evening
5412,User5412,35,1.0,Non-Binary,Mobile,Top,Shopping,Evening
2529,User2529,37,1.0,Female,Desktop,Bottom,Social Media,Afternoon
3285,User3285,42,0.0,Male,Tablet,Side,News,Evening
2156,User2156,46,1.0,Female,Tablet,Side,Social Media,Morning
9418,User9418,20,1.0,Male,Tablet,Side,News,Night
5629,User5629,39,1.0,Female,Tablet,Top,Entertainment,Night
4086,User4086,54,1.0,Female,Desktop,Top,Entertainment,Morning
9400,User9400,41,1.0,Non-Binary,Mobile,Side,Education,Night
9699,User9699,33,0.0,Female,Tablet,Bottom,Shopping,Morning
2809,User2809,31,0.0,Non-Binary,Desktop,Top,News,Afternoon
4089,User4089,37,0.0,Non-Binary,Tablet,Bottom,Social Media,Afternoon
2885,User2885,47,0.0,Non-Binary,Desktop,Bottom,Education,Afternoon
5082,User5082,44,1.0,Female,Mobile,Top,Education,Afternoon
4938,User4938,41,1.0,Male,Desktop,Side,Social Media,Evening
5623,User5623,53,1.0,Female,Desktop,Side,Social Media,Morning
5329,User5329,54,1.0,Male,Tablet,Side,News,Evening
9990,User9990,25,1.0,Male,Desktop,Side,Education,Night
3746,User3746,49,1.0,Male,Desktop,Top,Education,Morning
4625,User4625,33,0.0,Non-Binary,Mobile,Top,News,Morning
8459,User8459,38,1.0,Non-Binary,Tablet,Bottom,Entertainment,Morning
4151,User4151,39,0.0,Female,Desktop,Side,Social Media,Evening
8176,User8176,46,0.0,Male,Desktop,Top,News,Afternoon
1908,User1908,26,1.0,Male,Mobile,Bottom,News,Evening
4925,User4925,47,0.0,Non-Binary,Desktop,Side,Entertainment,Evening
6167,User6167,20,1.0,Male,Mobile,Side,Shopping,Night
3818,User3818,27,0.0,Non-Binary,Desktop,Top,Shopping,Night
1612,User1612,40,1.0,Non-Binary,Mobile,Side,News,Evening
6441,User6441,42,1.0,Male,Desktop,Top,Entertainment,Night
1612,User1612,40,1.0,Male,Mobile,Side,News,Evening
3644,User3644,26,1.0,Female,Mobile,Side,Entertainment,Evening
7422,User7422,41,1.0,Female,Desktop,Top,Social Media,Evening
5732,User5732,47,1.0,Non-Binary,Tablet,Bottom,Entertainment,Evening
8222,User8222,27,1.0,Non-Binary,Tablet,Side,News,Afternoon
4450,User4450,45,0.0,Female,Mobile,Top,Social Media,Evening
3277,User3277,38,0.0,Non-Binary,Mobile,Side,News,Morning
8174,User8174,20,1.0,Female,Mobile,Bottom,Education,Afternoon
1127,User1127,37,1.0,Non-Binary,Desktop,Bottom,Social Media,Afternoon
6268,User6268,40,1.0,Male,Desktop,Top,Entertainment,Night
329,User329,36,0.0,Male,Desktop,Top,Entertainment,Night
9266,User9266,38,1.0,Male,Mobile,Bottom,Education,Afternoon
6917,User6917,41,0.0,Non-Binary,Mobile,Bottom,News,Afternoon
8561,User8561,52,1.0,Male,Mobile,Bottom,Entertainment,Evening
234,User234,19,1.0,Female,Tablet,Bottom,Social Media,Morning
2129,User2129,47,1.0,Female,Tablet,Bottom,Social Media,Evening
7678,User7678,53,0.0,Female,Desktop,Top,Social Media,Night
2173,User2173,50,1.0,Male,Tablet,Bottom,Shopping,Night
5571,User5571,46,0.0,Female,Desktop,Side,Shopping,Evening
5737,User5737,29,0.0,Male,Desktop,Top,Shopping,Night
217,User217,28,0.0,Female,Tablet,Side,Education,Morning
234,User234,45,1.0,Female,Desktop,Bottom,Social Media,Morning
6864,User6864,36,0.0,Male,Desktop,Side,Social Media,Evening
6462,User6462,36,1.0,Male,Tablet,Side,Education,Evening
7214,User7214,62,0.0,Non-Binary,Mobile,Top,Education,Night
3236,User3236,56,1.0,Female,Mobile,Bottom,Education,Morning
8957,User8957,29,1.0,Male,Tablet,Top,Entertainment,Morning
6602,User6602,25,1.0,Female,Desktop,Side,Entertainment,Morning
9400,User9400,50,1.0,Male,Mobile,Side,Education,Evening
5501,User5501,28,1.0,Non-Binary,Mobile,Bottom,Social Media,Evening
5084,User5084,52,1.0,Non-Binary,Tablet,Side,News,Afternoon
7659,User7659,19,0.0,Male,Mobile,Top,News,Night
2003,User2003,42,0.0,Male,Desktop,Bottom,News,Afternoon
487,User487,28,1.0,Male,Mobile,Side,Social Media,Afternoon
4429,User4429,34,1.0,Non-Binary,Tablet,Top,Entertainment,Morning
8226,User8226,46,1.0,Female,Tablet,Top,Social Media,Morning
9220,User9220,21,1.0,Female,Mobile,Side,Social Media,Night
1420,User1420,62,1.0,Non-Binary,Desktop,Bottom,News,Morning
8316,User8316,32,0.0,Male,Desktop,Bottom,Social Media,Afternoon
3601,User3601,46,1.0,Non-Binary,Mobile,Bottom,Entertainment,Afternoon
9290,User9290,61,1.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon
885,User885,49,0.0,Non-Binary,Tablet,Side,Education,Afternoon
7866,User7866,47,1.0,Non-Binary,Mobile,Bottom,Social Media,Morning
1110,User1110,43,0.0,Female,Mobile,Side,Entertainment,Night
1539,User1539,43,1.0,Non-Binary,Mobile,Bottom,Education,Evening
2722,User2722,39,1.0,Female,Desktop,Top,Education,Evening
5890,User5890,56,1.0,Female,Mobile,Bottom,News,Night
2964,User2964,40,1.0,Non-Binary,Mobile,Side,News,Night
2133,User2133,30,0.0,Female,Tablet,Side,Shopping,Afternoon
3014,User3014,36,1.0,Non-Binary,Mobile,Top,Social Media,Afternoon
6619,User6619,36,0.0,Non-Binary,Tablet,Bottom,Social Media,Evening
949,User949,27,0.0,Male,Desktop,Top,Social Media,Morning
3658,User3658,30,1.0,Female,Desktop,Side,Shopping,Night
6602,User6602,32,1.0,Non-Binary,Desktop,Side,News,Night
2760,User2760,55,0.0,Male,Tablet,Top,Social Media,Morning
4616,User4616,43,0.0,Female,Desktop,Side,News,Evening
9550,User9550,58,1.0,Non-Binary,Desktop,Top,Education,Afternoon
9227,User9227,47,1.0,Non-Binary,Mobile,Side,Entertainment,Morning
7438,User7438,45,1.0,Non-Binary,Tablet,Side,News,Morning
5733,User5733,38,0.0,Non-Binary,Mobile,Bottom,Shopping,Morning
4957,User4957,58,1.0,Male,Desktop,Bottom,Social Media,Evening
393,User393,36,1.0,Male,Desktop,Bottom,Shopping,Morning
8252,User8252,38,1.0,Male,Tablet,Side,Shopping,Night
8947,User8947,22,1.0,Male,Tablet,Bottom,Entertainment,Night
6423,User6423,37,0.0,Non-Binary,Tablet,Side,Shopping,Afternoon
6479,User6479,44,1.0,Male,Tablet,Side,Entertainment,Afternoon
8226,User8226,47,1.0,Male,Tablet,Top,Social Media,Morning
4254,User4254,19,1.0,Male,Desktop,Bottom,Shopping,Afternoon
3641,User3641,39,1.0,Female,Tablet,Top,Education,Night
3014,User3014,28,1.0,Female,Mobile,Top,Shopping,Afternoon
2964,User2964,40,1.0,Non-Binary,Mobile,Side,Entertainment,Night
9807,User9807,35,1.0,Non-Binary,Tablet,Bottom,Education,Night
645,User645,32,0.0,Non-Binary,Tablet,Side,Education,Morning
5425,User5425,54,1.0,Female,Mobile,Side,Entertainment,Afternoon
4874,User4874,38,0.0,Male,Mobile,Bottom,News,Morning
1914,User1914,37,1.0,Male,Tablet,Bottom,Shopping,Evening
4950,User4950,28,1.0,Male,Mobile,Side,Social Media,Morning
24,User24,45,1.0,Female,Tablet,Side,Education,Evening
7450,User7450,43,1.0,Non-Binary,Desktop,Side,News,Night
7750,User7750,46,1.0,Female,Mobile,Side,Social Media,Morning
2337,User2337,40,1.0,Male,Desktop,Top,Entertainment,Evening
4178,User4178,41,0.0,Male,Tablet,Top,Shopping,Morning
6487,User6487,19,1.0,Male,Tablet,Side,News,Morning
3057,User3057,51,0.0,Female,Mobile,Top,Entertainment,Afternoon
6765,User6765,46,1.0,Female,Tablet,Side,Entertainment,Morning
5193,User5193,50,1.0,Female,Desktop,Side,Education,Afternoon
2555,User2555,44,1.0,Non-Binary,Tablet,Side,News,Morning
4773,User4773,59,0.0,Male,Desktop,Top,Entertainment,Afternoon
6438,User6438,53,1.0,Non-Binary,Tablet,Top,Shopping,Night
9128,User9128,34,0.0,Male,Mobile,Top,News,Morning
400,User400,52,1.0,Non-Binary,Tablet,Side,News,Evening
8334,User8334,44,0.0,Male,Desktop,Top,Shopping,Evening
5403,User5403,61,0.0,Male,Desktop,Top,Education,Night
3333,User3333,30,1.0,Male,Tablet,Top,Social Media,Evening
5501,User5501,28,1.0,Non-Binary,Mobile,Bottom,News,Evening
9617,User9617,63,1.0,Non-Binary,Tablet,Side,Shopping,Afternoon
7792,User7792,59,0.0,Male,Mobile,Bottom,Education,Evening
3280,User3280,29,0.0,Male,Tablet,Side,Shopping,Morning
2529,User2529,58,1.0,Male,Desktop,Top,Social Media,Afternoon
8832,User8832,49,1.0,Male,Tablet,Side,Shopping,Night
9723,User9723,26,1.0,Female,Mobile,Side,Social Media,Evening
6268,User6268,42,1.0,Non-Binary,Desktop,Top,News,Night
5664,User5664,32,0.0,Male,Mobile,Top,Entertainment,Evening
6268,User6268,42,1.0,Female,Desktop,Top,Social Media,Night
1945,User1945,20,1.0,Male,Tablet,Side,Entertainment,Night
560,User560,38,0.0,Female,Desktop,Side,Social Media,Morning
3299,User3299,44,1.0,Non-Binary,Tablet,Side,Shopping,Evening
2336,User2336,32,1.0,Non-Binary,Tablet,Side,News,Morning
7466,User7466,47,1.0,Non-Binary,Mobile,Bottom,Shopping,Afternoon
4587,User4587,43,0.0,Male,Tablet,Top,Entertainment,Evening
1369,User1369,52,1.0,Female,Mobile,Bottom,Social Media,Morning
7438,User7438,53,1.0,Non-Binary,Mobile,Side,News,Morning
9162,User9162,37,0.0,Female,Mobile,Top,Shopping,Night
5756,User5756,51,1.0,Non-Binary,Tablet,Top,Shopping,Afternoon
1148,User1148,25,1.0,Male,Mobile,Bottom,Social Media,Afternoon
6167,User6167,20,1.0,Male,Mobile,Side,Social Media,Night
6462,User6462,36,1.0,Non-Binary,Tablet,Side,Education,Evening
9266,User9266,38,1.0,Male,Mobile,Bottom,Education,Afternoon
1540,User1540,45,0.0,Female,Tablet,Top,Education,Evening
9789,User9789,46,1.0,Male,Tablet,Top,Social Media,Morning
346,User346,29,0.0,Male,Mobile,Top,News,Evening
5756,User5756,51,1.0,Non-Binary,Tablet,Top,Shopping,Afternoon
6160,User6160,37,0.0,Male,Tablet,Side,Education,Evening
1549,User1549,56,1.0,Male,Desktop,Top,Entertainment,Afternoon
6980,User6980,62,1.0,Non-Binary,Desktop,Bottom,Social Media,Night
1077,User1077,36,1.0,Non-Binary,Desktop,Top,Education,Afternoon
5951,User5951,41,0.0,Female,Tablet,Top,Shopping,Evening
5193,User5193,50,1.0,Female,Desktop,Side,Education,Evening
8956,User8956,31,1.0,Male,Tablet,Top,Shopping,Morning
1601,User1601,41,0.0,Female,Tablet,Top,Education,Morning
3906,User3906,55,1.0,Non-Binary,Tablet,Bottom,Social Media,Evening
8189,User8189,51,0.0,Male,Tablet,Top,Shopping,Afternoon
7973,User7973,28,1.0,Female,Mobile,Bottom,Social Media,Morning
5629,User5629,44,1.0,Non-Binary,Tablet,Top,Social Media,Morning
1305,User1305,38,1.0,Female,Tablet,Top,News,Night
6880,User6880,38,1.0,Female,Mobile,Side,News,Night
4236,User4236,51,0.0,Male,Desktop,Bottom,Entertainment,Night
9173,User9173,49,0.0,Male,Desktop,Side,Education,Evening
2913,User2913,57,1.0,Non-Binary,Mobile,Side,Social Media,Evening
5566,User5566,34,1.0,Non-Binary,Mobile,Bottom,Social Media,Morning
1141,User1141,37,1.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon
393,User393,36,1.0,Male,Desktop,Bottom,Shopping,Morning
1077,User1077,28,1.0,Non-Binary,Desktop,Side,News,Afternoon
3759,User3759,42,0.0,Non-Binary,Mobile,Top,Entertainment,Afternoon
3854,User3854,56,1.0,Female,Tablet,Bottom,Social Media,Afternoon
5425,User5425,54,1.0,Non-Binary,Mobile,Bottom,Entertainment,Afternoon
7438,User7438,53,1.0,Non-Binary,Mobile,Side,News,Morning
9231,User9231,21,1.0,Non-Binary,Desktop,Top,Shopping,Evening
2542,User2542,58,1.0,Non-Binary,Mobile,Side,Entertainment,Evening
9855,User9855,43,1.0,Non-Binary,Desktop,Bottom,Shopping,Morning
1445,User1445,44,0.0,Female,Mobile,Top,Entertainment,Morning
6811,User6811,24,1.0,Male,Mobile,Bottom,Education,Evening
7448,User7448,54,0.0,Male,Tablet,Side,Entertainment,Night
1557,User1557,34,0.0,Non-Binary,Mobile,Bottom,News,Night
1171,User1171,52,1.0,Female,Mobile,Bottom,Shopping,Night
966,User966,54,1.0,Male,Desktop,Bottom,Social Media,Night
7652,User7652,40,1.0,Male,Mobile,Bottom,Education,Morning
315,User315,43,1.0,Female,Desktop,Side,Social Media,Night
3164,User3164,28,1.0,Female,Desktop,Bottom,Social Media,Evening
5483,User5483,52,0.0,Non-Binary,Tablet,Side,Education,Night
6258,User6258,53,1.0,Non-Binary,Tablet,Top,Entertainment,Night
2722,User2722,39,1.0,Female,Desktop,Top,Shopping,Evening
3570,User3570,56,0.0,Female,Mobile,Side,Education,Evening
7748,User7748,57,0.0,Female,Desktop,Top,News,Night
5922,User5922,62,0.0,Female,Mobile,Side,Entertainment,Afternoon
3429,User3429,59,1.0,Female,Tablet,Side,Entertainment,Morning
3990,User3990,28,1.0,Female,Tablet,Side,Social Media,Evening
1368,User1368,45,0.0,Female,Mobile,Top,Entertainment,Afternoon
9842,User9842,43,1.0,Non-Binary,Mobile,Top,Education,Afternoon
6602,User6602,58,1.0,Female,Desktop,Side,Entertainment,Night
866,User866,49,0.0,Male,Mobile,Bottom,Education,Night
3042,User3042,64,1.0,Male,Mobile,Side,Social Media,Afternoon
5082,User5082,44,1.0,Female,Mobile,Top,Shopping,Afternoon
5055,User5055,45,1.0,Male,Desktop,Top,Education,Morning
9695,User9695,26,0.0,Male,Desktop,Side,Entertainment,Night
9057,User9057,36,1.0,Female,Desktop,Side,Education,Morning
2129,User2129,29,1.0,Male,Tablet,Side,Social Media,Evening
3644,User3644,26,1.0,Female,Tablet,Side,Entertainment,Evening
4883,User4883,33,0.0,Female,Mobile,Top,News,Night
3236,User3236,56,1.0,Female,Mobile,Bottom,Shopping,Morning
2311,User2311,41,1.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon
416,User416,32,0.0,Female,Tablet,Bottom,Social Media,Morning
2174,User2174,36,1.0,Female,Desktop,Bottom,Social Media,Afternoon
9400,User9400,41,1.0,Non-Binary,Mobile,Side,Education,Night
9146,User9146,58,1.0,Female,Desktop,Top,News,Afternoon
5412,User5412,35,1.0,Non-Binary,Mobile,Top,Shopping,Evening
6202,User6202,37,1.0,Female,Tablet,Bottom,Shopping,Night
8581,User8581,49,0.0,Male,Mobile,Bottom,Social Media,Morning
2964,User2964,40,1.0,Non-Binary,Mobile,Side,Entertainment,Night
9151,User9151,22,0.0,Male,Mobile,Top,Education,Evening
3430,User3430,61,1.0,Male,Desktop,Side,Social Media,Morning
8978,User8978,27,0.0,Male,Desktop,Side,Social Media,Morning
265,User265,30,0.0,Male,Tablet,Bottom,Entertainment,Afternoon
2272,User2272,47,1.0,Non-Binary,Desktop,Bottom,Entertainment,Evening
1171,User1171,52,1.0,Female,Mobile,Bottom,Shopping,Night
1805,User1805,28,1.0,Non-Binary,Mobile,Top,Shopping,Afternoon
8222,User8222,27,1.0,Non-Binary,Tablet,Side,News,Afternoon
911,User911,32,1.0,Non-Binary,Desktop,Top,Entertainment,Night
6602,User6602,58,1.0,Female,Desktop,Side,Social Media,Night
2555,User2555,55,1.0,Non-Binary,Tablet,Bottom,News,Evening
5095,User5095,48,0.0,Female,Desktop,Bottom,News,Afternoon
9516,User9516,28,1.0,Male,Desktop,Top,Entertainment,Morning
805,User805,41,1.0,Male,Desktop,Bottom,Entertainment,Evening
1127,User1127,29,1.0,Non-Binary,Mobile,Side,Entertainment,Afternoon
6211,User6211,34,0.0,Female,Mobile,Top,Education,Night
2595,User2595,62,1.0,Female,Desktop,Bottom,Entertainment,Morning
7438,User7438,53,1.0,Non-Binary,Mobile,Side,News,Morning
7086,User7086,30,1.0,Non-Binary,Mobile,Top,Shopping,Morning
228,User228,46,1.0,Female,Mobile,Top,Social Media,Evening
4559,User4559,30,0.0,Female,Desktop,Bottom,News,Night
1126,User1126,31,1.0,Non-Binary,Tablet,Side,News,Afternoon
6874,User6874,39,0.0,Female,Mobile,Side,News,Afternoon
5056,User5056,43,0.0,Non-Binary,Tablet,Side,Social Media,Evening
5005,User5005,49,1.0,Male,Desktop,Top,Shopping,Morning
1454,User1454,28,1.0,Female,Tablet,Top,Social Media,Morning
2196,User2196,34,0.0,Female,Desktop,Top,News,Morning
5198,User5198,47,1.0,Male,Desktop,Bottom,Education,Night
6100,User6100,47,1.0,Non-Binary,Desktop,Bottom,Education,Night
8459,User8459,38,1.0,Non-Binary,Tablet,Bottom,Entertainment,Morning
8726,User8726,62,1.0,Female,Desktop,Side,Education,Morning
8726,User8726,62,1.0,Female,Desktop,Side,Education,Morning
92,User92,35,0.0,Non-Binary,Tablet,Top,Shopping,Morning
6174,User6174,35,0.0,Male,Tablet,Side,Entertainment,Morning
9157,User9157,33,1.0,Non-Binary,Mobile,Bottom,Social Media,Morning
5418,User5418,40,1.0,Male,Desktop,Top,Entertainment,Evening
210,User210,28,0.0,Male,Tablet,Top,Shopping,Afternoon
7590,User7590,40,0.0,Non-Binary,Mobile,Top,Social Media,Morning
2804,User2804,38,1.0,Female,Tablet,Bottom,Education,Evening
6202,User6202,34,1.0,Female,Tablet,Bottom,Shopping,Night
7466,User7466,47,1.0,Non-Binary,Mobile,Bottom,Shopping,Afternoon
5890,User5890,56,1.0,Female,Mobile,Bottom,Social Media,Night
8400,User8400,41,1.0,Male,Tablet,Bottom,Entertainment,Afternoon
2032,User2032,36,1.0,Non-Binary,Desktop,Bottom,News,Morning
2124,User2124,41,1.0,Male,Desktop,Top,Social Media,Evening
6258,User6258,42,1.0,Non-Binary,Tablet,Top,Shopping,Night
1743,User1743,47,0.0,Female,Mobile,Bottom,News,Night
6296,User6296,29,1.0,Non-Binary,Desktop,Bottom,Education,Evening
9412,User9412,34,1.0,Male,Mobile,Bottom,Social Media,Morning
8278,User8278,31,1.0,Female,Mobile,Top,News,Morning
5629,User5629,53,1.0,Male,Tablet,Top,Entertainment,Night
9422,User9422,41,1.0,Female,Desktop,Side,Entertainment,Night
8174,User8174,20,1.0,Female,Mobile,Bottom,Entertainment,Afternoon
315,User315,41,1.0,Non-Binary,Desktop,Side,Social Media,Evening
393,User393,36,1.0,Non-Binary,Desktop,Bottom,Shopping,Morning
