full_name,age,click,gender,device_type,ad_position,browsing_history,time_of_day
User1188,42,0.0,Non-Binary,Desktop,Bottom,Shopping,Evening
User1189,40,0.0,Non-Binary,Desktop,Side,News,Night
User119,59,1.0,Male,Tablet,Top,News,Night
User1190,39,1.0,Non-Binary,Tablet,Bottom,Education,Morning
User1194,47,0.0,Male,Desktop,Top,Social Media,Night
User1195,38,0.0,Non-Binary,Desktop,Side,Education,Night
User1197,62,1.0,Male,Mobile,Top,Social Media,Night
User1199,42,0.0,Non-Binary,Mobile,Top,Shopping,Night
User120,42,0.0,Female,Desktop,Side,News,Night
User1200,42,0.0,Male,Mobile,Top,Shopping,Afternoon
User1201,32,0.0,Male,Mobile,Side,Entertainment,Evening
User1204,38,0.0,Female,Desktop,Top,Shopping,Morning
User1205,48,0.0,Male,Mobile,Bottom,Shopping,Night
User1206,42,0.0,Female,Mobile,Side,Social Media,Afternoon
User1207,42,0.0,Female,Mobile,Bottom,Education,Evening
User1209,60,0.0,Female,Mobile,Top,Social Media,Morning
User1213,42,0.0,Male,Tablet,Bottom,News,Night
User1214,26,1.0,Female,Mobile,Bottom,News,Evening
User1216,55,0.0,Female,Mobile,Top,News,Afternoon
User1219,42,0.0,Male,Desktop,Top,Entertainment,Evening
User122,34,0.0,Male,Tablet,Side,Entertainment,Afternoon
User1225,27,1.0,Male,Tablet,Side,Entertainment,Evening
User1227,59,0.0,Non-Binary,Tablet,Top,Education,Evening
User1228,42,0.0,Male,Tablet,Side,Entertainment,Morning
User1229,22,0.0,Female,Desktop,Bottom,Entertainment,Morning
User1233,57,0.0,Non-Binary,Mobile,Top,Social Media,Morning
User1234,62,0.0,Female,Tablet,Top,Shopping,Afternoon
User1235,42,0.0,Male,Mobile,Bottom,Shopping,Evening
User1239,61,0.0,Male,Desktop,Bottom,Social Media,Afternoon
User1240,52,0.0,Female,Desktop,Top,Social Media,Night
User1242,42,0.0,Non-Binary,Tablet,Top,Entertainment,Evening
User1248,57,0.0,Female,Tablet,Top,Social Media,Evening
User1249,22,0.0,Male,Mobile,Side,Entertainment,Afternoon
User125,42,0.0,Non-Binary,Mobile,Bottom,Education,Morning
User1250,33,0.0,Female,Tablet,Top,Entertainment,Evening
User1251,58,0.0,Female,Mobile,Top,Shopping,Night
User1253,36,1.0,Female,Desktop,Bottom,Shopping,Morning
User1254,32,0.0,Female,Desktop,Bottom,Shopping,Morning
User1255,23,0.0,Male,Tablet,Side,Social Media,Morning
User1257,24,0.0,Female,Desktop,Top,Social Media,Morning
User1261,46,0.0,Non-Binary,Mobile,Top,Entertainment,Evening
User1262,42,0.0,Female,Mobile,Side,Shopping,Morning
User1264,42,0.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon
User1265,42,0.0,Male,Mobile,Bottom,Shopping,Night
User1268,21,0.0,Female,Tablet,Side,Education,Afternoon
User1269,36,0.0,Male,Mobile,Bottom,Social Media,Night
User1273,27,1.0,Non-Binary,Mobile,Bottom,Social Media,Morning
User1275,42,0.0,Non-Binary,Tablet,Bottom,News,Morning
User1278,42,0.0,Female,Tablet,Side,Education,Evening
User1279,42,0.0,Female,Tablet,Side,Entertainment,Morning
User128,55,0.0,Male,Tablet,Top,Entertainment,Afternoon
User1280,28,0.0,Male,Tablet,Bottom,News,Morning
User1282,23,0.0,Female,Desktop,Side,Social Media,Morning
User1283,57,0.0,Male,Mobile,Top,Social Media,Afternoon
User1284,42,0.0,Female,Tablet,Top,News,Afternoon
User1285,57,0.0,Male,Tablet,Bottom,Social Media,Evening
User1286,61,0.0,Female,Tablet,Top,News,Evening
User1287,33,0.0,Female,Tablet,Top,News,Evening
User1291,42,0.0,Male,Tablet,Bottom,Entertainment,Morning
User1296,34,1.0,Male,Tablet,Top,Social Media,Morning
User1297,60,0.0,Male,Tablet,Bottom,Social Media,Afternoon
User1298,42,0.0,Non-Binary,Desktop,Side,Social Media,Morning
User1300,42,0.0,Female,Tablet,Bottom,Education,Morning
User1301,42,0.0,Non-Binary,Desktop,Side,Shopping,Morning
User1304,22,0.0,Male,Desktop,Bottom,Social Media,Evening
User1305,39,1.0,Female,Tablet,Top,News,Night
User1309,42,0.0,Female,Desktop,Bottom,Social Media,Afternoon
User1318,24,0.0,Non-Binary,Desktop,Top,Education,Evening
User1320,42,0.0,Male,Mobile,Bottom,Shopping,Night
User1324,42,0.0,Male,Tablet,Bottom,Social Media,Evening
User1325,39,1.0,Non-Binary,Desktop,Side,News,Evening
User1327,42,0.0,Female,Mobile,Side,News,Night
User1334,21,0.0,Female,Mobile,Top,Shopping,Afternoon
User1335,56,0.0,Female,Mobile,Side,Social Media,Morning
User134,26,0.0,Male,Desktop,Top,News,Night
User1340,40,0.0,Non-Binary,Tablet,Top,Entertainment,Evening
User1341,42,0.0,Non-Binary,Mobile,Bottom,News,Night
User1345,34,0.0,Female,Desktop,Top,Entertainment,Morning
User1348,60,0.0,Female,Mobile,Top,Shopping,Afternoon
User1349,42,0.0,Female,Mobile,Bottom,Education,Afternoon
User1351,42,0.0,Male,Mobile,Bottom,Social Media,Evening
User1352,42,0.0,Male,Tablet,Side,News,Morning
User1354,59,0.0,Female,Tablet,Side,Education,Afternoon
User1356,37,0.0,Female,Tablet,Top,Shopping,Evening
User1360,42,0.0,Non-Binary,Desktop,Bottom,Education,Evening
User1364,42,0.0,Female,Mobile,Side,Education,Evening
User1365,38,0.0,Female,Tablet,Top,Shopping,Afternoon
User1366,42,0.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon
User1367,29,0.0,Male,Mobile,Bottom,Shopping,Evening
User1368,42,0.0,Female,Mobile,Top,Education,Afternoon
User1369,39,1.0,Male,Desktop,Bottom,Social Media,Morning
User137,42,0.0,Female,Mobile,Side,Shopping,Night
User1370,52,1.0,Female,Desktop,Bottom,News,Night
User1372,51,0.0,Non-Binary,Tablet,Top,Entertainment,Evening
User1377,42,0.0,Male,Tablet,Bottom,Education,Afternoon
User1379,42,0.0,Non-Binary,Tablet,Bottom,Education,Morning
User138,21,0.0,Male,Desktop,Side,News,Morning
User1383,27,0.0,Female,Desktop,Top,Entertainment,Night
User1386,42,0.0,Female,Desktop,Top,News,Night
User1387,61,0.0,Male,Mobile,Top,Education,Morning
User1391,23,0.0,Female,Tablet,Side,Shopping,Afternoon
User1393,42,0.0,Male,Desktop,Top,Education,Morning
User1395,52,0.0,Male,Desktop,Side,Shopping,Evening
User1399,39,1.0,Female,Mobile,Bottom,Education,Night
User1400,61,0.0,Female,Tablet,Bottom,News,Evening
User1401,34,0.0,Male,Mobile,Top,Shopping,Evening
User1404,42,0.0,Non-Binary,Mobile,Side,Education,Night
User1409,42,0.0,Non-Binary,Desktop,Side,Entertainment,Afternoon
User141,58,0.0,Male,Tablet,Side,Education,Night
User1410,19,0.0,Female,Desktop,Top,Shopping,Evening
User1412,53,0.0,Male,Desktop,Side,Education,Afternoon
User1414,42,0.0,Female,Desktop,Top,Education,Night
User1418,58,0.0,Female,Desktop,Side,News,Night
User1420,62,1.0,Non-Binary,Desktop,Bottom,News,Morning
User1422,59,0.0,Female,Mobile,Side,Social Media,Night
User1424,42,0.0,Male,Desktop,Top,Entertainment,Afternoon
User1425,26,0.0,Non-Binary,Tablet,Bottom,Entertainment,Evening
User1428,42,0.0,Non-Binary,Desktop,Top,Entertainment,Evening
User143,42,0.0,Male,Mobile,Top,Entertainment,Night
User1432,33,0.0,Female,Mobile,Bottom,Entertainment,Afternoon
User1435,42,0.0,Non-Binary,Mobile,Bottom,Entertainment,Morning
User1438,42,0.0,Female,Desktop,Side,News,Morning
User1442,55,0.0,Female,Tablet,Side,Education,Morning
User1445,44,0.0,Female,Mobile,Top,Shopping,Afternoon
User1446,39,1.0,Female,Desktop,Bottom,News,Night
User1447,42,0.0,Female,Tablet,Side,Education,Evening
User1450,44,0.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon
User1454,39,1.0,Female,Tablet,Top,Shopping,Morning
User1455,42,0.0,Male,Tablet,Bottom,Education,Evening
User1456,46,0.0,Female,Desktop,Bottom,News,Afternoon
User1460,42,0.0,Female,Mobile,Side,Entertainment,Afternoon
User1462,41,0.0,Male,Mobile,Bottom,Education,Morning
User1464,42,0.0,Non-Binary,Desktop,Side,Shopping,Evening
User1466,21,0.0,Female,Tablet,Side,Education,Evening
User1467,42,0.0,Non-Binary,Tablet,Top,Social Media,Night
User147,42,0.0,Non-Binary,Desktop,Top,Shopping,Night
User1470,25,0.0,Male,Tablet,Top,Social Media,Evening
User1474,31,1.0,Female,Desktop,Side,Entertainment,Morning
User1478,19,0.0,Male,Mobile,Side,Social Media,Evening
User148,42,0.0,Female,Desktop,Bottom,Social Media,Night
User1482,42,0.0,Non-Binary,Desktop,Top,Shopping,Afternoon
User1483,54,0.0,Non-Binary,Tablet,Bottom,Education,Afternoon
User1484,31,0.0,Non-Binary,Desktop,Side,Entertainment,Afternoon
User1485,22,0.0,Female,Mobile,Side,Social Media,Night
User1486,42,0.0,Male,Desktop,Side,Entertainment,Morning
User1487,42,0.0,Male,Mobile,Bottom,Education,Morning
User1494,18,0.0,Male,Mobile,Bottom,Education,Evening
User1495,42,0.0,Male,Tablet,Top,Shopping,Afternoon
User1497,26,0.0,Female,Tablet,Top,Social Media,Evening
User150,47,0.0,Non-Binary,Tablet,Bottom,Social Media,Evening
User1503,19,1.0,Female,Tablet,Side,News,Afternoon
User1505,18,0.0,Male,Desktop,Top,Shopping,Night
User1507,42,0.0,Male,Desktop,Bottom,Entertainment,Night
User1515,44,0.0,Male,Desktop,Bottom,News,Morning
User1520,42,0.0,Female,Desktop,Top,Entertainment,Morning
User1524,24,1.0,Male,Mobile,Bottom,Entertainment,Night
User1525,46,0.0,Male,Tablet,Top,News,Morning
User1526,50,0.0,Non-Binary,Mobile,Top,News,Afternoon
User1529,20,1.0,Female,Mobile,Top,Entertainment,Afternoon
User1530,42,0.0,Male,Mobile,Bottom,Entertainment,Night
User1532,42,0.0,Non-Binary,Mobile,Side,Shopping,Evening
User1533,37,0.0,Male,Mobile,Top,Entertainment,Afternoon
User1534,47,0.0,Non-Binary,Desktop,Side,News,Morning
User1536,19,0.0,Non-Binary,Tablet,Bottom,Shopping,Night
User1539,43,1.0,Non-Binary,Mobile,Bottom,Education,Evening
User1540,45,0.0,Female,Tablet,Top,Shopping,Evening
User1543,49,0.0,Non-Binary,Tablet,Top,Entertainment,Morning
User1546,42,0.0,Male,Tablet,Side,Entertainment,Afternoon
User1548,38,0.0,Non-Binary,Mobile,Top,News,Afternoon
User1549,56,1.0,Male,Desktop,Top,News,Afternoon
User1554,57,0.0,Non-Binary,Tablet,Side,Social Media,Night
User1555,42,0.0,Male,Desktop,Top,News,Night
User1557,42,0.0,Non-Binary,Desktop,Bottom,Social Media,Night
User156,42,0.0,Non-Binary,Tablet,Bottom,Shopping,Morning
User1561,56,0.0,Non-Binary,Mobile,Top,News,Night
User1562,51,0.0,Male,Mobile,Bottom,News,Night
User1566,56,0.0,Non-Binary,Mobile,Side,News,Morning
User1568,42,0.0,Non-Binary,Desktop,Bottom,Social Media,Evening
User1569,42,0.0,Non-Binary,Tablet,Top,Shopping,Afternoon
User157,42,0.0,Male,Mobile,Top,Shopping,Night
User1572,42,0.0,Male,Tablet,Bottom,News,Morning
User1574,64,0.0,Male,Mobile,Bottom,Entertainment,Evening
User1575,31,0.0,Non-Binary,Desktop,Bottom,Education,Night
User1576,45,0.0,Male,Tablet,Bottom,Entertainment,Afternoon
User158,61,0.0,Non-Binary,Desktop,Bottom,Education,Evening
User1583,44,0.0,Male,Mobile,Top,News,Afternoon
User1585,24,0.0,Non-Binary,Mobile,Side,Education,Night
User1586,38,1.0,Non-Binary,Desktop,Top,Shopping,Night
User1587,45,0.0,Female,Desktop,Bottom,Shopping,Afternoon
User1588,38,0.0,Non-Binary,Mobile,Top,News,Morning
User1589,60,0.0,Female,Mobile,Side,Shopping,Afternoon
User159,52,0.0,Male,Tablet,Top,Education,Morning
User1598,42,0.0,Male,Desktop,Bottom,Entertainment,Afternoon
User1600,24,0.0,Female,Tablet,Side,News,Morning
User1601,41,0.0,Female,Tablet,Top,Education,Morning
User1604,42,0.0,Male,Mobile,Top,News,Morning
User1606,42,0.0,Male,Mobile,Top,Education,Afternoon
User1607,53,0.0,Male,Desktop,Top,News,Night
User1608,39,0.0,Male,Tablet,Top,Shopping,Night
User161,42,0.0,Female,Tablet,Side,News,Evening
User1612,40,1.0,Male,Mobile,Side,News,Evening
User1613,60,0.0,Male,Mobile,Side,News,Night
User1614,42,0.0,Female,Mobile,Bottom,Entertainment,Evening
User1616,21,0.0,Male,Tablet,Side,News,Evening
User1619,37,0.0,Female,Tablet,Side,Shopping,Evening
User1623,50,0.0,Female,Mobile,Top,Education,Morning
User1624,31,0.0,Male,Desktop,Top,News,Afternoon
User1627,42,0.0,Male,Tablet,Top,Education,Evening
User1629,24,0.0,Male,Mobile,Bottom,News,Night
User163,42,0.0,Male,Desktop,Top,Entertainment,Night
User1630,42,0.0,Male,Tablet,Side,Education,Afternoon
User1631,53,0.0,Non-Binary,Mobile,Side,Shopping,Evening
User1632,42,0.0,Female,Mobile,Side,Shopping,Afternoon
User1634,42,0.0,Male,Tablet,Bottom,News,Night
User1635,54,1.0,Female,Tablet,Top,News,Evening
User1638,53,0.0,Non-Binary,Tablet,Bottom,Education,Evening
User1641,42,0.0,Male,Desktop,Bottom,News,Afternoon
User1647,62,0.0,Male,Desktop,Bottom,Social Media,Night
User1649,42,0.0,Non-Binary,Mobile,Bottom,Education,Evening
User1650,29,1.0,Male,Desktop,Bottom,Entertainment,Morning
User1651,35,0.0,Non-Binary,Mobile,Side,News,Afternoon
User1652,42,0.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon
User1653,37,0.0,Non-Binary,Mobile,Top,News,Evening
User1656,18,0.0,Male,Mobile,Side,Education,Evening
User1658,27,0.0,Female,Mobile,Side,News,Night
User1661,43,0.0,Male,Mobile,Side,Shopping,Night
User1664,42,0.0,Male,Desktop,Top,Social Media,Night
User1665,19,0.0,Male,Mobile,Bottom,Social Media,Afternoon
User1669,42,0.0,Non-Binary,Tablet,Side,Entertainment,Evening
User167,42,0.0,Non-Binary,Mobile,Side,News,Night
User1670,44,0.0,Non-Binary,Tablet,Top,Shopping,Night
User1674,42,0.0,Non-Binary,Tablet,Side,Social Media,Morning
User1677,38,0.0,Non-Binary,Desktop,Bottom,News,Night
User1679,56,0.0,Non-Binary,Mobile,Top,Education,Night
User168,18,0.0,Female,Mobile,Side,Education,Morning
User1681,42,0.0,Non-Binary,Tablet,Side,Shopping,Night
User1683,28,0.0,Non-Binary,Tablet,Bottom,Education,Morning
User1684,57,0.0,Non-Binary,Mobile,Side,Shopping,Afternoon
User1685,21,0.0,Female,Desktop,Bottom,Education,Morning
User1689,42,0.0,Non-Binary,Desktop,Bottom,Entertainment,Night
User1691,45,0.0,Male,Desktop,Top,News,Night
User1692,49,0.0,Non-Binary,Desktop,Top,Entertainment,Night
User1693,42,0.0,Male,Tablet,Side,News,Night
User1694,42,0.0,Female,Mobile,Top,Entertainment,Night
User1698,50,0.0,Female,Desktop,Top,Entertainment,Morning
User170,64,0.0,Male,Desktop,Bottom,Entertainment,Afternoon
User1704,61,1.0,Female,Tablet,Bottom,Shopping,Evening
User1705,42,0.0,Female,Desktop,Bottom,News,Night
User1706,39,1.0,Non-Binary,Tablet,Bottom,Shopping,Night
User1707,42,0.0,Female,Mobile,Top,Social Media,Afternoon
User1709,42,0.0,Non-Binary,Mobile,Bottom,Education,Afternoon
User171,42,0.0,Male,Tablet,Side,Social Media,Evening
User1710,37,1.0,Male,Tablet,Side,Entertainment,Afternoon
User1713,42,0.0,Male,Mobile,Side,News,Night
User1716,42,0.0,Female,Desktop,Top,Shopping,Night
User1719,42,0.0,Non-Binary,Mobile,Top,Social Media,Morning
User1721,34,1.0,Non-Binary,Mobile,Bottom,Social Media,Afternoon
User1722,36,0.0,Male,Mobile,Top,Education,Night
User1723,42,0.0,Male,Tablet,Top,News,Morning
User1727,45,0.0,Female,Mobile,Bottom,Education,Night
User1729,26,1.0,Female,Mobile,Top,Shopping,Afternoon
User173,29,0.0,Male,Mobile,Side,Social Media,Morning
User1730,42,0.0,Female,Tablet,Side,Shopping,Morning
User1732,42,0.0,Non-Binary,Tablet,Top,Social Media,Night
User1733,32,0.0,Non-Binary,Mobile,Bottom,News,Evening
User1734,50,0.0,Non-Binary,Mobile,Side,Education,Night
User1736,60,0.0,Female,Mobile,Top,News,Afternoon
User1737,42,0.0,Male,Mobile,Bottom,Entertainment,Night
User1738,22,0.0,Non-Binary,Desktop,Side,Entertainment,Morning
User1741,45,1.0,Female,Mobile,Bottom,News,Night
User1742,42,0.0,Male,Desktop,Side,Entertainment,Afternoon
User1743,47,0.0,Male,Tablet,Top,News,Evening
User1744,42,0.0,Non-Binary,Desktop,Bottom,Education,Night
User1746,54,0.0,Male,Desktop,Top,News,Night
User1749,42,0.0,Non-Binary,Tablet,Bottom,Entertainment,Evening
User175,24,0.0,Female,Desktop,Side,News,Afternoon
User1752,44,0.0,Female,Mobile,Side,News,Morning
User1754,25,0.0,Female,Desktop,Bottom,Shopping,Morning
User1755,39,1.0,Non-Binary,Tablet,Bottom,News,Evening
User1759,42,0.0,Female,Tablet,Top,Entertainment,Morning
User176,42,0.0,Female,Mobile,Side,Education,Night
User1760,42,0.0,Male,Desktop,Side,Education,Night
User1762,41,1.0,Male,Desktop,Side,Entertainment,Afternoon
User1767,42,0.0,Non-Binary,Tablet,Bottom,Social Media,Evening
User1768,42,0.0,Male,Desktop,Bottom,News,Morning
User177,37,0.0,Non-Binary,Tablet,Top,Shopping,Night
User1770,51,0.0,Female,Mobile,Top,News,Evening
User1776,39,0.0,Female,Mobile,Top,Education,Morning
User1777,42,0.0,Non-Binary,Mobile,Side,Entertainment,Morning
User1785,42,0.0,Female,Mobile,Bottom,Social Media,Afternoon
User1787,42,0.0,Female,Tablet,Bottom,Social Media,Evening
User1791,42,0.0,Non-Binary,Tablet,Bottom,Education,Night
User1793,42,0.0,Female,Desktop,Side,Education,Morning
User1797,27,0.0,Male,Tablet,Bottom,Education,Morning
User18,32,0.0,Female,Mobile,Side,Shopping,Evening
User180,56,0.0,Non-Binary,Mobile,Bottom,Social Media,Evening
User1804,42,0.0,Non-Binary,Tablet,Top,Social Media,Evening
User1805,39,1.0,Male,Mobile,Top,Social Media,Afternoon
User1815,42,0.0,Female,Desktop,Side,Social Media,Night
User1816,42,0.0,Female,Tablet,Bottom,Social Media,Evening
User1817,22,0.0,Non-Binary,Tablet,Top,Education,Night
User182,42,0.0,Female,Tablet,Side,Shopping,Morning
User1820,42,0.0,Non-Binary,Tablet,Side,News,Morning
User1825,42,0.0,Female,Desktop,Side,Shopping,Evening
User1826,42,0.0,Non-Binary,Desktop,Bottom,News,Night
User1832,42,0.0,Female,Tablet,Side,Education,Morning
User1837,23,0.0,Male,Desktop,Top,Social Media,Night
User1839,56,0.0,Non-Binary,Desktop,Top,Shopping,Morning
User184,28,0.0,Male,Tablet,Top,Entertainment,Evening
User1840,42,0.0,Non-Binary,Desktop,Bottom,Education,Night
User1841,42,0.0,Female,Desktop,Top,Shopping,Night
User1842,42,0.0,Female,Mobile,Side,Education,Night
User185,52,0.0,Non-Binary,Mobile,Top,Entertainment,Morning
User1850,38,0.0,Male,Desktop,Top,Education,Evening
User1856,42,0.0,Non-Binary,Tablet,Bottom,News,Afternoon
User1858,39,0.0,Non-Binary,Desktop,Top,Entertainment,Morning
User1863,29,0.0,Female,Tablet,Top,Education,Evening
User1868,46,0.0,Non-Binary,Tablet,Top,Education,Evening
User1869,51,0.0,Male,Tablet,Side,Entertainment,Night
User187,42,0.0,Female,Tablet,Top,Entertainment,Evening
User1871,42,0.0,Female,Desktop,Top,Entertainment,Night
User1873,41,0.0,Non-Binary,Tablet,Bottom,Entertainment,Night
User1878,42,0.0,Male,Tablet,Bottom,Social Media,Morning
User1879,61,0.0,Male,Desktop,Side,Entertainment,Evening
User188,56,1.0,Female,Tablet,Bottom,News,Morning
User1881,42,0.0,Non-Binary,Mobile,Bottom,Social Media,Morning
User1890,42,0.0,Non-Binary,Mobile,Top,Entertainment,Night
User190,42,0.0,Male,Mobile,Top,Entertainment,Night
User1902,40,0.0,Male,Mobile,Bottom,Entertainment,Evening
User1903,37,0.0,Non-Binary,Mobile,Top,Social Media,Morning
User1905,62,1.0,Female,Mobile,Bottom,Education,Night
User1908,26,1.0,Male,Mobile,Bottom,Education,Evening
User191,19,0.0,Male,Mobile,Side,Entertainment,Morning
User1910,63,1.0,Male,Desktop,Side,Social Media,Night
User1911,23,0.0,Non-Binary,Tablet,Side,Entertainment,Morning
User1913,53,0.0,Male,Desktop,Side,Education,Night
User1914,42,1.0,Male,Tablet,Bottom,Shopping,Night
User1918,42,0.0,Male,Desktop,Side,Shopping,Evening
User1919,42,0.0,Female,Tablet,Side,Entertainment,Night
User1920,42,0.0,Non-Binary,Desktop,Side,Social Media,Afternoon
User1921,51,0.0,Female,Tablet,Side,News,Afternoon
User1925,42,0.0,Non-Binary,Mobile,Side,Social Media,Afternoon
User1926,50,0.0,Female,Mobile,Bottom,News,Night
User1927,42,0.0,Non-Binary,Tablet,Bottom,Entertainment,Evening
User1929,42,0.0,Non-Binary,Desktop,Side,Social Media,Afternoon
User1931,39,1.0,Female,Mobile,Bottom,Shopping,Night
User1933,39,0.0,Non-Binary,Tablet,Side,Shopping,Afternoon
User1935,30,1.0,Female,Desktop,Bottom,Entertainment,Afternoon
User1937,26,0.0,Male,Mobile,Side,Entertainment,Night
User1938,27,0.0,Male,Mobile,Bottom,News,Evening
User1940,36,0.0,Female,Mobile,Top,Shopping,Afternoon
User1941,42,0.0,Male,Mobile,Bottom,Social Media,Afternoon
User1943,52,0.0,Female,Desktop,Bottom,News,Evening
User1945,20,1.0,Female,Tablet,Side,Entertainment,Night
User1948,57,0.0,Male,Mobile,Top,News,Evening
User195,42,0.0,Male,Desktop,Bottom,Entertainment,Morning
User1951,42,0.0,Non-Binary,Tablet,Top,Education,Evening
User1955,62,0.0,Female,Desktop,Bottom,Entertainment,Evening
User1957,42,0.0,Non-Binary,Desktop,Side,News,Evening
User1958,42,0.0,Female,Tablet,Top,News,Evening
User1965,42,0.0,Male,Tablet,Top,Shopping,Morning
User1967,42,0.0,Female,Tablet,Bottom,Social Media,Evening
